sLongitude, sLatitude
9.402522, 53.967014
9.402610, 53.966892
9.402699, 53.966770
9.402790, 53.966652
9.402886, 53.966534
9.402987, 53.966419
9.403100, 53.966305
9.403223, 53.966194
9.403353, 53.966087
9.403491, 53.965988
9.403637, 53.965889
9.403788, 53.965797
9.403944, 53.965710
9.404105, 53.965626
9.404274, 53.965549
9.404448, 53.965477
9.404630, 53.965412
9.404818, 53.965351
9.405009, 53.965294
9.405207, 53.965244
9.405406, 53.965195
9.405606, 53.965153
9.405808, 53.965111
9.406013, 53.965069
9.406216, 53.965027
9.406415, 53.964973
9.406610, 53.964916
9.406799, 53.964855
9.406981, 53.964787
9.407156, 53.964710
9.407322, 53.964626
9.407480, 53.964539
9.407630, 53.964447
9.407773, 53.964352
9.407907, 53.964249
9.408034, 53.964142
9.408151, 53.964031
9.408253, 53.963921
9.408342, 53.963802
9.408415, 53.963680
9.408482, 53.963558
9.408545, 53.963432
9.408606, 53.963306
9.408664, 53.963184
9.408724, 53.963058
9.408787, 53.962936
9.408853, 53.962814
9.408922, 53.962692
9.408998, 53.962574
9.409081, 53.962456
9.409169, 53.962341
9.409264, 53.962227
9.409363, 53.962112
9.409469, 53.962002
9.409580, 53.961895
9.409699, 53.961788
9.409825, 53.961685
9.409956, 53.961586
9.410091, 53.961487
9.410231, 53.961391
9.410373, 53.961300
9.410521, 53.961208
9.410671, 53.961117
9.410824, 53.961025
9.410977, 53.960934
9.411130, 53.960846
9.411283, 53.960754
9.411438, 53.960663
9.411592, 53.960575
9.411745, 53.960484
9.411897, 53.960392
9.412045, 53.960300
9.412190, 53.960205
9.412332, 53.960110
9.412469, 53.960011
9.412602, 53.959911
9.412734, 53.959808
9.412863, 53.959705
9.412988, 53.959595
9.413109, 53.959484
9.413222, 53.959377
9.413331, 53.959267
9.413440, 53.959156
9.413550, 53.959042
9.413663, 53.958920
9.413771, 53.958797
9.413875, 53.958672
9.413977, 53.958538
9.414075, 53.958408
9.414167, 53.958275
9.414260, 53.958141
9.414352, 53.958008
9.414443, 53.957867
9.414532, 53.957726
9.414614, 53.957577
9.414683, 53.957424
9.414742, 53.957264
9.414791, 53.957100
9.414833, 53.956936
9.414865, 53.956768
9.414886, 53.956596
9.414893, 53.956417
9.414886, 53.956234
9.414867, 53.956047
9.414837, 53.955856
9.414801, 53.955662
9.414767, 53.955456
9.414742, 53.955250
9.414741, 53.955036
9.414763, 53.954826
9.414808, 53.954613
9.414872, 53.954403
9.414953, 53.954193
9.415049, 53.953987
9.415154, 53.953785
